RestaurantId,Cuisine,Rating,NumberOfReviews,Recommended
XKDHsS8PevoEdFLNtt05FA,Ramen,4.5,182,1
LTfR_0NiS7OIRCfkaAJg9w,Japanese,4.5,224,1
cn3JXMq29UfRkFCUD0Bhbw,Chinese,3.5,438,1
b_3yI7FXcIle71lD9Tulww,Mexican,4.5,23,1
NB5u0htOK_1_dTkYALpRxg,Sushi Bars,4.5,56,1
mZdxvKqo8-hP86lus1pVHQ,Korean,5,10,1
E_XstVPsYMbU4sNTIttarQ,Mexican,4,238,1
C83_0TlJdnKSKwkaH62DKA,Food Trucks,4,3,1
iYFauSnqLxvr4HTY_cIElg,Asian Fusion,4,227,1
CHpmu4N_kRSd-ekynJqIIA,Delis,4,61,1
mYQMjrtHp8vsEKKNsRz1XA,Italian,4,202,1
ONExUhcaPQQeKE7PW12cfA,Mexican,4.5,20,1
8SM-aKKwlK8JNaJTr60c6Q,Chinese,3,45,1
TBX6fnKz0lSdMjR598r75w,Greek,4,220,1
U2aUFZARLeSMf4RQIxjuTw,Chinese,4.5,69,1
xymU2HPO_euz1Ss1AE9Fyw,Seafood,4.5,82,1
4xOPFgrVjxKmRPlfKH-Meg,Vietnamese,4,469,1
6qzNc9Z9DHYYleKqrW_K3g,Japanese,4,871,1
sBP8072dTkHDHyS8MTaZcQ,Tacos,4.5,37,1
7K9WGGP9SOUxdlJ4ozFy8A,Steakhouses,4.5,213,1
zaYK-LuVRUoUVt6EV-xmPg,Izakaya,4,47,1
e6W0I-1r7WhCq7PPSTsFqg,Steakhouses,4,198,1
f7apP8A_0_KqcGQTK4V2TQ,Scandinavian,4,652,1
ZhbHXqkEYNKLAbamW5peJQ,American (New),4,416,1
k8GFfCXO2FIIJIo0ICYSRA,Noodles,4.5,28,1
GyGET9rFn-0MlHY1tTOfdg,Bakeries,4.5,174,1
Ko95LRE9AAvb2Lk9Iwh2-Q,Tacos,4,637,1
NL7yHrgnOVNtKNRPon5vGQ,Dim Sum,3,138,1
A-ert0jDRBfku9ogyW_mEg,Chinese,4.5,162,1
EVQQ1Fs1YNlKd4HuxmzlJQ,Chinese,3,12,1
dDXtga5Kgo5B1twdezcZJA,Chinese,4,270,1
HvgrpROomwRg-pATqaV8oQ,Japanese,3.5,409,1
wkddrs3C4l5muL1rQuJ2Mw,Pizza,3.5,10,1
wo7-TKh4B37RTBjPNtkp7w,Szechuan,3.5,29,1
dUxhYX4hfWa4wDfIFgii3g,Korean,4,616,1
AJjQ9qMUqYj4_tWZ_m1TRw,Steakhouses,4,293,1
K1h1-dbZLgfC4vZSeJfDMw,Japanese,4,35,1
xrnk8mgoV7up6fauVmugpw,Ramen,4,491,1
Imw15ZNH2RyEz5A0hUywqg,Chicken Wings,4,54,1
uVHa8BktK6jjYTaSxra-sg,Japanese,4.5,359,1
AiiKkuu7xcrOfLE5-R5Ygg,Ramen,3.5,161,1
VooUbgaG0F2FeQZfgBbjkg,Chinese,3,158,1
LIo7CUUgZBZw8MxDxv0icw,Chinese,3.5,293,1
lpLd3AFaMOV7LfPtvUiq8A,Chinese,3,620,1
ipv4lBvbfVzCnSahqrJckQ,Szechuan,4,243,1
y_ylOQzCP-9D_4DcUIJ3jA,Japanese,4,549,1
pZMxOkuYVq_Q5QYTGA8LEA,Ramen,4,140,1
SUHJfh7H2NiQx8c5OWoAyQ,Japanese,4,123,1
sVkwEFET38Myz3dM1uZpiw,Breakfast & Brunch,4,244,1
neQM053ovAOrf1sVSAPI9w,Asian Fusion,4,768,1
_LJFf9YqpYxvExTvVxb7Rw,American (New),4.5,803,1
4W0qF6C0KDmGDOc4pR3CkQ,American (New),5,22,1
lw4ZMgn-QBh_5W1ipNHjaw,French,4,35,1
16heVvLqYfLpl8mC1RN3Bg,Hot Pot,4.5,249,1
0bM7u8ifFfXUnaybey3Yrg,Chinese,3,38,1
Dh2I2jRTXE7oDCfuA9vCoQ,Chinese,3.5,39,1
rSY3MyWqpuy3dNuUN4zQ_g,French,4,330,1
fyCteRCHqQb4rzJf4piKTg,Chinese,2,1,1
vWEKZVPIYFewfqCOkkvVIQ,Chinese,3.5,35,1
yVDNPV0Yf3vQAsXTJett1g,Chinese,3,36,1
2uVut84nu_1J1iXRoXRMiQ,Coffee & Tea,4,160,1
yRAU7MtAE9St6Q8LSeFZCQ,Italian,4,26,1
aM8SCVt3APBw1kE5Zg0kkQ,Coffee & Tea,4.5,63,1
o-KRgyTJoM4EM-K-rwe86w,Mexican,3.5,497,1
01hs_l54-211UuiJPI83lA,Japanese,4,168,1
vSPKmk499CglpfJFuFvbvg,Chinese,3.5,8,1
jrXu38IeCFhHAgR8tI7exg,Breakfast & Brunch,2.5,308,1
pf_84vrm2-Ir0mVwzK8VNw,Indian,3.5,62,1
wNFWtc20sGBvqM_BcfVgcw,Chinese,4.5,40,1
ZS49AhOMRPFH_3mQd_qA7A,Chicken Wings,4.5,405,1
T1bgtJcjtc-6xykWqBRfUw,Ramen,4,304,1
6gDUVNZo0E9lxO2DkAhHOQ,Greek,4.5,407,1
9PmK63frTS-ZrvPCfpe1jg,Steakhouses,3.5,121,1
TdUhTJ7hCt0uANqHIcltOA,French,4,272,1
gxvwxZWWSKNFMsVr10YAQg,Asian Fusion,3.5,263,1
3Rah-cvFk79duFQ83voQ5A,Hot Pot,4,201,1
Vs2IM_3Hyhh7FrzagM_9cQ,Seafood,4,210,1
wOYqxqz5yhx3CrP2RsCXpw,Breakfast & Brunch,4,527,1
qBGKigOGn_flCx1apxPzlA,Italian,4,275,1
r2aGrOQe0yoY7FD9LI44Zg,Spanish,4,240,1
sNeefaiRztDQ10B4QzUi3g,Japanese,4.5,29,1
Ohi-o00luDtU7TMpVtJHJw,Vegetarian,4,892,1
rA4CDLdNtwnszjGT_KWzPQ,Coffee & Tea,4,503,1
sCC7-hSdCkNPExejZT9BAQ,Indian,4.5,1142,1
ZYWwYSXWyDlVYIjPgXmIQA,Chinese,3.5,36,1
8Ef9eUwj4fO3uyY1dgEHsg,Chinese,3.5,17,1
2eR8ftw-GiTEwg3Y7Rm-MA,Chinese,3.5,521,1
yUVcpgecpq1qncpa1x34Hg,Chinese,3,12,1
nPSkt8LFHNxYJsVIxOuAJg,Italian,4.5,22,1
2SMaAUcbNjW7vSwdg38P2Q,Ramen,3.5,326,1
i5cdbiw1KRyg4w0X44ZBwA,Italian,3.5,107,1
04exhf1PZ79_Km9vHAzvfA,Italian,4,661,1
nSn3Qrz02c0KtbvoK9Wh7Q,Steakhouses,3.5,477,1
3DmJv5rHFNyQykaUiXBOvA,Chinese,3.5,26,1
oNYP0AFOSw_oZEHkF_f0kQ,Mexican,4,88,1
cxJH3cwOZ-KUU3yKsQ72uw,Dim Sum,3.5,259,1
wMU7gPgp2M9JjJhkivZkgQ,Thai,3.5,235,1
trEnFaHqRkJqtjRvzx7PsQ,Greek,4,814,1
46uJ0Im-ZLJNd-FZDB_H8g,Korean,4.5,7,1
Xcnq-GIw48tMPlUIavpGmA,American (New),3.5,202,1
Rh3l9F0IvIrHGdwO5YAH3g,Japanese,2.5,22,0
RhAnIGLcHTs4cDZ38o1UfQ,Tutoring Centers,1,1,0
Si3QKpqMLMK8CcUvT8YdLA,Barbeque,1.5,14,0
T3kIirVGijXVCmftl6287w,Fast Food,2.5,22,0
T5N0NSny-Xxi6BP-ejxL2A,Sushi Bars,2,19,0
Bf2UQhIKXrdnrT8i8qUAJQ,Indian,1,1,0
FtI8OKz6P1qiwQkJ1ulP_g,Bakeries,1,2,0
GgVSxkEzFRyAorxuODA1tQ,Indian,1,2,0
J6YCQvybP8aJlHiy00Y6dw,Japanese,1,2,0
KJsmqYpiAP9hflkF3gaoPA,Asian Fusion,1,1,0
L_-RylYupDJG1leOCXQwcQ,Thai,1,1,0
LmMOWnnlwIBGYaXXgxG0vA,Barbeque,1,1,0
XwJwqa89PK-xPSiEXAs_6g,Indian,1.5,11,0
0l-l2j5NAIqtychRNs17Dw,Fast Food,2,73,0
bl0kmNsTNoJu16SqK9K5VQ,Coffee & Tea,2,2,0
bvNXEdDaUyy8zkth500qaw,Indian,2,95,0
Bw34nA4J3Oumxyvi7KssAg,Breakfast & Brunch,2,2,0
bWENqo52d9fFPH9D-CWuqQ,Mexican,2,38,0
faaD94iTxF4VEUNcPna35A,Seafood,2,20,0
fafNIotYycy_yM0vwMTzUQ,Asian Fusion,2,1,0
FixPdsfm___2OV2ztzY8JQ,Burgers,2,9,0
GdWvUbmSKOJF8BDrnsElcA,Vietnamese,2,2,0
GK_uRKdunWF7LBYAy3xQig,Mexican,2,6,0
MoV1TGBXh9WMPduroGnIbQ,Mexican,2,21,0
NaSN8ZDmTK5NfRU9XkGbIg,Japanese,2,1,0
nKcyBE_1b8Pz2aEI5BW7QQ,Caribbean,2,16,0
nqcJCwOfkttQbxKBFGMHvQ,Fast Food,2,49,0
pPcvrJL27P4Q4oZaJ946QA,Japanese,2,73,0
1Bz6qutjjBIjpwUZ95wKBw,Fast Food,2.5,26,0
1STHZRLclKk0QxkHOznFkA,Fast Food,2.5,58,0
24zawWdBJLwm6lsqLDqfHQ,Sushi Bars,2.5,32,0
-5JwknVLIT36YTGhvkuBaw,Latin American,2.5,198,0
5JYpVoaYkYxrByOskzHAdQ,Japanese,2.5,49,0
63v5dgX2SHPs-eP3IgKTIQ,Fast Food,2.5,41,0
6WvF89SWYCMqh2Z34mX-3Q,Reflexology,2.5,3,0
7_NCS8bQ8UA_nEANIWm-hQ,Indian,2.5,19,0
CpKF-ZTNZBhFqV5LcBYJnw,Delis,2.5,75,0
CpsnurlPqkUBWwqO69xS7A,Indian,2.5,3,0
CrEHI10_Y-FB_KmqKmAqzg,Japanese,2.5,7,0
CYz0z7l7DndLcl8mtiIT5g,Japanese,2.5,2,0
D5PuTv7Z-CI62sjJbM2WRw,Cantonese,2.5,5,0
d7ik-WYCYFvTZwXydrLlgw,Greek,2.5,3,0
DB3CWuk6bQuulJx69ZSz0w,Sushi Bars,2.5,24,0
DcvN0rRsqdMNdibDjfOCJQ,Argentine,2.5,115,0
dDAlpjRdymf148x_9tL0pQ,Asian Fusion,2.5,65,0
DG3Ze4-Rj7JieKBEryV0EA,Fast Food,2.5,15,0
DGOLOC0kR5FCzvD7X6RNqw,Fast Food,2.5,7,0
dmAQ6J40AR-v08MxpvQT0Q,Sushi Bars,2.5,7,0
ggJ8NWu0augmwCdbJu1n8w,Seafood,2.5,86,0
gMXn-XlZH7uI3ZRdpfqipg,Steakhouses,2.5,148,0
gNDdRSWiuxdulA-Ajx6zCQ,French,2.5,224,0
gNS0joGKALsNXFqKmZuurg,Chinese,2.5,61,0
go9fTb59h5WJ_e5Guw-Y8g,Mexican,2.5,17,0
gUiaxkCdvUfDXhDH_zdHYg,Apartments,2.5,3,0
Gw9wDneQviRAhrpEUkcnWQ,Mexican,2.5,133,0
gWaK8OEXawE43-Di0ykTNQ,Seafood,2.5,82,0
JXCiSk6ZbczHXZ9kfBEsOA,Salad,2.5,31,0
JYqPz5dabkJbFLaCPdAj7g,Fast Food,2.5,43,0
jzEaiiRa3497HWdf4QKHIA,Pizza,2.5,63,0
K3en5IZojIQ67E0czbBNBQ,Caterers,2.5,46,0
KHqLsj90mvMCy0Y3YXTOkw,Delis,2.5,107,0
KhxFHJ2sp_1q2Whuxx6j9A,Seafood,2.5,22,0
kM27KOTMWnR9taTPudds9Q,Dim Sum,2.5,117,0
KnvGnK2-wm2RHjKTIPch8w,Sushi Bars,2.5,133,0
kpW1PZzKfPDDcd-Mbp3FaA,Burgers,2.5,22,0
mlc6FvnDLOPDppn-97_52Q,Breakfast & Brunch,2.5,48,0
MM5i395oQHBP-9XtJrsO3A,Japanese,2.5,227,0
MRBq3He22yi4ol01SdVlRA,Street Vendors,2.5,44,0
mWXfJBMdZkD3VnARa5ZAYg,Italian,2.5,11,0
m_BTgSsjn8T881XxMMmDuw,Caribbean,2.5,3,0
m4_k7yyNyU3yuUtb9CbpmQ,Thai,2.5,3,0
M7aFxytftoeiXMJnNAPxUg,Greek,2.5,235,0
rby1H3FmLv0dtTDyn2rLxw,Fast Food,2.5,8,0
rcjomb_bm3DoJtgOJ0MW9A,Italian,2.5,15,0
rdhthpOOv9ApynrgQTnvqQ,Mediterranean,2.5,124,0
RGnWIHygEis4uEtO_uR6RQ,Sandwiches,2.5,47,0
RjxtXkvbVBCDpJdt8pn5lg,Thai,2.5,112,0
RvSqiP7Sj0kebrllKdDo_Q,Fast Food,2.5,44,0
RVVXyZaUDWtPLxJRuP7wEw,Thai,2.5,58,0
rXTgrqD5UP21rrZp92utGQ,Pizza,2.5,15,0
shNn0uGXQBD7wEIhbtzeIg,Indian,2.5,2,0
shzBB1nH8rfz7o5wrp0z5A,Seafood,2.5,36,0
skTsNRMFjUvIY4iWV_9Hhw,Parking,2.5,2,0
Sn2i5Ctj85hcsSgIaiUCzw,Chinese,2.5,13,0
sul_ihulQ5VUPNbk9liWqA,Lounges,2.5,269,0
sUVRmTS3gwZtdDbjA5TPpA,Indian,2.5,8,0
SYQwo6Ikr38GqwKEHuDIpQ,Mexican,2.5,21,0
t08ar0NCRS1HaqAZkvh_Gg,Ramen,2.5,6,0
GzLvItrtwlPpkH0HPEC_5w,Mediterranean,3,151,0
GzY2EjCmGNgvRd7IE20fTA,Asian Fusion,3,182,0
H20RCBmxdkf2kNjftedPyg,Japanese,3,26,0
h4kSprW0LhnrUox8s3PasA,Japanese,3,67,0
H5bhfR5sL0I2w1csjI1uMA,Pizza,3,48,0
H-6xYovzB8AKZb14bmYnWg,French,3,252,0
jHn3mUjbe9caYZNe1z9YUw,Sushi Bars,3,120,0
jId2DpLN3Q3yI2e5MQO72w,Airlines,3,12,0
JjSrwEPSCKABNqbpWArKWg,Chinese,3,31,0
JKp2xxZGXivogDkV8mSSZg,American (Traditional),3,139,0
jMdziYLNYGDCegkFQ4lTQA,Pizza,3,37,0
JCPykGY64Ok0MXo1T_35Cw,Fast Food,3,22,0